sid,r1_sys,c11_sys,c12_sys,r2_sys,c21_sys,c22_sys,cus_pri,strategy
1,Uninterruptible,,,,,,r2,DL
1,Uninterruptible,,,,,,r1,DL
1,Pausable,,,,,,r2,PZ
1,Pausable,,,,,,r1,DL
1,,Uninterruptible,,,,,r2,DL
1,,Uninterruptible,,,,,r1,DL
1,,Pausable,,,,,r2,PZ
1,,Pausable,,,,,r1,DL
2,Uninterruptible,,,,,Uninterruptible,r2,IN
2,Uninterruptible,,,,,Uninterruptible,r1,IN
2,Uninterruptible,,,,,Pausable,r2,IN
2,Uninterruptible,,,,,Pausable,r1,IN
2,Pausable,,,,,Uninterruptible,r2,IN
2,Pausable,,,,,Uninterruptible,r1,IN
2,Pausable,,,,,Pausable,r2,IN
2,Pausable,,,,,Pausable,r1,IN
2,,,Uninterruptible,,,Uninterruptible,r2,IN
2,,,Uninterruptible,,,Uninterruptible,r1,IN
2,,,Uninterruptible,,,Pausable,r2,IN
2,,,Uninterruptible,,,Pausable,r1,IN
2,,,Pausable,,,Uninterruptible,r2,IN
2,,,Pausable,,,Uninterruptible,r1,IN
2,,,Pausable,,,Pausable,r2,IN
2,,,Pausable,,,Pausable,r1,IN
2,,,Uninterruptible,,,,r2,IN
2,,,Uninterruptible,,,,r1,IN
2,,,Pausable,,,,r2,IN
2,,,Pausable,,,,r1,IN
2,,,,,,Uninterruptible,r2,IN
2,,,,,,Uninterruptible,r1,IN
2,,,,,,Pausable,r2,IN
2,,,,,,Pausable,r1,IN
2,,,Uninterruptible,Uninterruptible,,,r2,DL
2,,,Uninterruptible,Uninterruptible,,,r1,DL
2,,,Uninterruptible,Pausable,,,r2,DL
2,,,Uninterruptible,Pausable,,,r1,DL
2,,,Pausable,Uninterruptible,,,r2,PZ
2,,,Pausable,Uninterruptible,,,r1,PZ
2,,,Pausable,Pausable,,,r2,PZ
2,,,Pausable,Pausable,,,r1,DL
3,Uninterruptible,,,,Uninterruptible,,r2,DL
3,Uninterruptible,,,,Uninterruptible,,r1,DL
3,Uninterruptible,,,,Pausable,,r2,DL
3,Uninterruptible,,,,Pausable,,r1,DL
3,Pausable,,,,Uninterruptible,,r2,OW
3,Pausable,,,,Uninterruptible,,r1,DL
3,Pausable,,,,Pausable,,r2,DL
3,Pausable,,,,Pausable,,r1,DL
3,,Uninterruptible,Pausable,,,,r2,RZ
3,,Uninterruptible,Pausable,,,,r1,RZ
3,,Uninterruptible,,,,,r2,OW
3,,Uninterruptible,,,,,r1,IN
3,,Pausable,Uninterruptible,,,,r2,DL
3,,Pausable,Uninterruptible,,,,r1,DL
3,,Pausable,,,,,r2,OW
3,,Pausable,,,,,r1,IN
3,,Uninterruptible,Pausable,,Uninterruptible,,r2,RZ
3,,Uninterruptible,Pausable,,Uninterruptible,,r1,RZ
3,,Uninterruptible,Pausable,,Pausable,,r2,RZ
3,,Uninterruptible,Pausable,,Pausable,,r1,DL
3,,Uninterruptible,,,Uninterruptible,,r2,OW
3,,Uninterruptible,,,Uninterruptible,,r1,OW
3,,Uninterruptible,,,Pausable,,r2,OW
3,,Uninterruptible,,,Pausable,,r1,OW
3,,Pausable,Uninterruptible,,Uninterruptible,,r2,DL
3,,Pausable,Uninterruptible,,Uninterruptible,,r1,DL
3,,Pausable,Uninterruptible,,Pausable,,r2,DL
3,,Pausable,Uninterruptible,,Pausable,,r1,DL
3,,Pausable,,,Uninterruptible,,r2,OW
3,,Pausable,,,Uninterruptible,,r1,OW
3,,Pausable,,,Pausable,,r2,OW
3,,Pausable,,,Pausable,,r1,OW
3,,,Pausable,,Uninterruptible,,r2,RZ
3,,,Pausable,,Uninterruptible,,r1,RZ
3,,,Pausable,,Pausable,,r2,RZ
3,,,Pausable,,Pausable,,r1,DL
3,,,Uninterruptible,,Uninterruptible,,r2,DL
3,,,Uninterruptible,,Uninterruptible,,r1,DL
3,,,Uninterruptible,,Pausable,,r2,DL
3,,,Uninterruptible,,Pausable,,r1,DL
3,,,,,Uninterruptible,,r2,OW
3,,,,,Uninterruptible,,r1,OW
3,,,,,Pausable,,r2,OW
3,,,,,Pausable,,r1,OW
3,,Uninterruptible,Pausable,Uninterruptible,,,r2,RZ
3,,Uninterruptible,Pausable,Uninterruptible,,,r1,RZ
3,,Uninterruptible,Pausable,Pausable,,,r2,RZ
3,,Uninterruptible,Pausable,Pausable,,,r1,DL
3,,Uninterruptible,,Uninterruptible,,,r2,OW
3,,Uninterruptible,,Uninterruptible,,,r1,OW
3,,Uninterruptible,,Pausable,,,r2,OW
3,,Uninterruptible,,Pausable,,,r1,OW
3,,Pausable,Uninterruptible,Uninterruptible,,,r2,DL
3,,Pausable,Uninterruptible,Uninterruptible,,,r1,DL
3,,Pausable,Uninterruptible,Pausable,,,r2,DL
3,,Pausable,Uninterruptible,Pausable,,,r1,DL
3,,Pausable,,Uninterruptible,,,r2,OW
3,,Pausable,,Uninterruptible,,,r1,OW
3,,Pausable,,Pausable,,,r2,OW
3,,Pausable,,Pausable,,,r1,OW
3,,,Pausable,Uninterruptible,,,r2,RZ
3,,,Pausable,Uninterruptible,,,r1,RZ
3,,,Pausable,Pausable,,,r2,RZ
3,,,Pausable,Pausable,,,r1,DL
3,,,,Uninterruptible,,,r2,OW
3,,,,Uninterruptible,,,r1,OW
3,,,,Pausable,,,r2,OW
3,,,,Pausable,,,r1,OW
3,,,Uninterruptible,Uninterruptible,,,r2,DL
3,,,Uninterruptible,Uninterruptible,,,r1,DL
3,,,Uninterruptible,Pausable,,,r2,DL
3,,,Uninterruptible,Pausable,,,r1,DL
3,,,,Uninterruptible,,,r2,OW
3,,,,Uninterruptible,,,r1,OW
3,,,,Pausable,,,r2,OW
3,,,,Pausable,,,r1,OW
4,Uninterruptible,,,,Uninterruptible,,r2,DL
4,Uninterruptible,,,,Uninterruptible,,r1,DL
4,Uninterruptible,,,,Pausable,,r2,DL
4,Uninterruptible,,,,Pausable,,r1,DL
4,Pausable,,,,Uninterruptible,,r2,PZ
4,Pausable,,,,Uninterruptible,,r1,PZ
4,Pausable,,,,Pausable,,r2,PZ
4,Pausable,,,,Pausable,,r1,RZ
4,,Uninterruptible,,,Uninterruptible,,r2,DL
4,,Uninterruptible,,,Uninterruptible,,r1,DL
4,,Uninterruptible,,,Pausable,,r2,DL
4,,Uninterruptible,,,Pausable,,r1,DL
4,,Pausable,,,Uninterruptible,,r2,PZ
4,,Pausable,,,Uninterruptible,,r1,PZ
4,,Pausable,,,Pausable,,r2,PZ
4,,Pausable,,,Pausable,,r1,RZ
4,,,,,Uninterruptible,,r2,TC
4,,,,,Uninterruptible,,r1,TC
4,,,,,Pausable,,r2,TC
4,,,,,Pausable,,r1,TC
4,,Uninterruptible,,,,,r2,IN
4,,Uninterruptible,,,,,r1,IN
4,,Pausable,,,,,r2,PZ
4,,Pausable,,,,,r1,IN
4,,Uninterruptible,,Uninterruptible,,,r2,DL
4,,Uninterruptible,,Uninterruptible,,,r1,DL
4,,Uninterruptible,,Pausable,,,r2,DL
4,,Uninterruptible,,Pausable,,,r1,DL
4,,Pausable,,Uninterruptible,,,r2,PZ
4,,Pausable,,Uninterruptible,,,r1,PZ
4,,Pausable,,Pausable,,,r2,PZ
4,,Pausable,,Pausable,,,r1,RZ
